,latitude,longitude,discovery_month,fire_size
0,18.105072,-66.75304399999999,2,10.0
1,35.03832998,-87.60999999,12,3.0
2,34.9478,-88.7225,2,60.0
3,39.6414,-119.3083,6,1.0
4,30.7006,-90.5914,9,2.0
5,32.0639,-82.4178,3,1.0
6,31.31697802,-83.39364888,1,5.2
7,30.90472001,-93.55749999,11,1.0
8,35.90031,-92.06118,8,1.0
9,48.8394,-99.7185,4,1.0
10,30.84533929,-83.12798679,3,8.3
11,31.195108,-88.150651,2,37.0
12,33.85573991,-85.31107517,10,1.0
13,31.76738,-93.14687,7,1.0
14,32.775,-80.65833333,5,3.0
15,33.98860931,-103.1352768,2,1.0
16,36.0833,-78.9167,4,1.5
17,36.1647,-91.8397,8,1.0
18,35.73848,-79.49695,2,1.0
19,31.5667,-90.5089,7,10.0
20,18.130913,-66.472954,2,2.0
21,33.779575,-96.025915,12,5.0
22,40.84338552,-73.31641886,4,2.0
23,33.4583,-80.4464,7,2.0
24,31.43518075,-88.99948898,4,40.0
25,17.988879999999998,-67.04791999999999,1,5.0
26,35.7189,-92.335,1,2.0
27,33.9375,-81.30416667,4,1.5
28,42.73193374,-77.90597641,4,1.0
29,31.1222,-88.0994,6,20.0
30,42.139938,-77.019666,4,1.0
31,48.833,-99.7836,4,1.2
32,34.8928,-84.7615,1,0.75
33,33.669209,-95.490213,9,2.0
34,31.01769001,-90.40238359,9,2.0
35,31.259,-84.8956,10,30.18
36,33.2418,-104.9122,7,1420.0
37,28.42583,-81.39111,3,0.7
38,30.57305999,-85.82222,5,10.0
39,36.32809825,-94.90830244,2,11.0
40,40.8347,-112.8064,8,5.0
41,35.756667,-87.65,3,10.0
42,32.87732378,-82.72099158,1,1.05
43,30.33,-82.97,3,1.0
44,32.56499998,-96.1751,9,20.0
45,37.34421,-83.92352,3,2.0
46,35.6431,-92.5239,1,3.0
47,32.1666,-82.0543,5,4.41
48,37.46458863,-81.49122444,4,55.0
49,32.232007,-94.478323,8,1.0
50,34.90639854,-94.86450192,2,90.0
51,47.21028723,-93.47281993,5,2.0
52,36.28459942,-94.85479719,4,1.0
53,29.60577,-99.7186,2,10.0
54,43.85158,-108.19147,7,3.2
55,32.38856,-94.68856,10,1.0
56,36.5865,-96.32322,12,15.3
57,35.47333333,-84.45,10,270.0
58,42.40379312,-73.41862982,4,1.55
59,36.81666667,-82.65166667,4,57.0
60,34.225,-80.075,3,10.0
61,30.88881532,-89.40650759999998,5,2.0
62,18.01667,-66.451408,3,3.0
63,29.52,-83.26,9,5.0
64,39.205,-105.18833329999998,7,1.5
65,32.80707917,-94.57469159,1,1.0
66,47.342389,-92.822977,4,2.0
67,30.23458,-88.66805,6,1.0
68,31.2408,-81.5575,3,19.3
69,32.0503,-85.5731,3,10.5
70,33.21749998,-79.32026999,3,50.0
71,32.94166667,-80.64166667,3,3.0
72,29.77036999,-97.22999998,2,4.0
73,43.94039999,-98.51480001,10,10.0
74,31.8044,-92.7642,9,8.0
75,45.0422716,-89.03498935,4,3.2
76,31.9954,-82.7805,8,0.52
77,32.275940000000006,-102.7609,2,5.0
78,34.33,-117.5130556,7,450.0
79,42.36444444,-112.2322222,7,2.5
80,28.06,-82.57,11,8.0
81,37.82518,-93.74782,9,1.0
82,33.59583333,-80.325,12,2.0
83,41.51085,-109.50637,6,18.0
84,63.8517,-150.3543,7,108.0
85,31.52155134,-83.30110959999999,12,3.02
86,32.28853889,-82.40083333,3,13.65
87,34.9,-111.4333333,7,0.7
88,35.29805555,-120.48,8,3.0
89,25.334719,-80.80555600000001,4,1.0
90,43.246827,-73.66582199999999,7,3.0
91,47.8666,-94.9169,4,20.0
92,43.718140000000005,-89.52824,6,1.17
93,36.816567,-119.63695,10,1.0
94,35.06351,-93.35006,10,1.0
95,32.25136667,-82.91357222,1,4.0
96,29.4794,-81.584,2,1.0
97,32.78947346,-84.84721729,2,9.94
98,45.76867435,-116.3321016,8,26.0
99,31.0847,-88.5464,12,13.0
100,41.55579979,-74.40212285,4,1.36
101,34.55,-79.0167,2,2.0
102,32.4929,-84.1167,4,10.66
103,32.75029364,-82.48540152,3,15.7
104,37.2936,-83.2331,3,1.0
105,34.7703,-88.4019,4,60.0
106,31.133234,-81.55446249,11,2.8
107,36.94415,-94.31492,6,1.0
108,34.15052242,-84.40011591,2,3.84
109,34.6833,-77.15,11,0.6
110,33.52291,-94.97292,8,80.0
111,34.9102,-85.4287,3,3.4
112,29.14,-82.33,11,5.0
113,35.03680041,-95.26930239,1,15.0
114,47.41333333,-94.49,3,2.0
115,33.42630321,-84.92522609999999,4,5.2
116,32.378046000000005,-87.092804,1,4.0
117,27.16361,-81.52334,2,1330.2
118,30.2370808,-97.8383698,11,1.0
119,37.1575,-107.0202778,9,2.0
120,30.41306,-103.1489,6,90.0
121,45.5639,-107.4868,10,1.0
122,43.285295,-95.7828301,11,2.0
123,36.0602,-118.0965,7,3.0
124,34.8839,-98.2039,8,1.0
125,31.4636,-81.3551,7,1.5
126,34.80025167,-89.65493016,5,15.0
127,45.63666667,-106.0383333,6,4.0
128,32.9878,-89.6958,3,1.0
129,40.74611111,-75.74861111,4,1.0
130,36.78186,-96.004014,12,78.0
131,33.2892,-110.4575,5,3.0
132,30.11,-82.04,6,3.0
133,32.0988,-84.7623,3,1.23
134,40.86545041,-72.93647803,7,1.5
135,36.3389,-91.5364,3,1.0
136,32.364782,-86.97223000000001,11,20.0
137,47.68795,-117.237,9,0.75
138,31.025575,-90.377754,7,4.0
139,35.0623,-108.8434,5,1.0
140,32.5897,-88.3636,9,85.0
141,35.150426,-101.856664,7,1.0
142,33.9848,-110.0857,7,1.0
143,33.31660999,-96.06086,12,15.0
144,34.1156,-81.4619,4,1.0
145,31.04372295,-84.97758751,10,0.58
146,46.1144,-100.6923,4,1.0
147,32.8178,-81.8286,3,4.0
148,34.301426,-79.426903,3,3.0
149,44.93083,-120.06583,8,26.5
150,34.98778,-103.2794,6,160.0
151,45.39555556,-121.5536111,5,1.0
152,31.96458,-95.10625,7,5.0
153,34.461468,-86.799757,4,14.0
154,33.58500167,-95.08555556,8,1.0
155,30.2006,-81.705,4,35.0
156,33.628128000000004,-94.858296,5,20.0
157,29.1325,-81.62,5,9.1
158,33.37021,-98.44781,2,10.0
159,39.965,-122.31805559999998,8,200.0
160,34.22433002,-95.58433997,12,2.0
161,33.05,-97.514,2,1.0
162,32.25719,-85.40776,4,8.0
163,31.7686,-89.2439,2,1.0
164,33.6767,-86.9606,9,2.0
165,48.0443,-118.3853,5,17.9
166,32.87,-84.5036,3,12.0
167,33.8247,-94.5981,1,4.0
168,33.70444133,-112.1760022,6,2.0
169,34.1086,-79.2922,4,1.0
170,33.310308,-87.777564,4,4.0
171,30.62292,-94.43125,2,1.0
172,35.125,-82.5203,3,2.0
173,41.533,-96.0333,8,40.0
174,29.59138997,-98.09027999,1,25.0
175,42.82194189,-73.35379719,4,1.74
176,33.74134,-80.32345,4,1.0
177,38.2747174,-81.68021598,1,46.0
178,30.76,-86.28,9,11.0
179,29.50028,-83.26083,8,3.0
180,31.6086,-89.8714,6,3.0
181,33.9833,-78.9833,3,4.0
182,31.6358,-84.0959,8,0.74
183,38.43800893,-81.34133251,12,2.0
184,38.00945,-77.46472,2,1.0
185,34.50582778,-85.44243889,3,5.7
186,34.3428,-89.8114,9,1.0
187,33.7319444,-109.026667,7,1.5
188,32.1975,-95.11972001,1,1.0
189,33.5333,-79.1833,4,50.0
190,36.85888889,-78.08666667,1,1.0
191,32.13443684,-81.92211196,2,1.64
192,40.22861111,-120.6713889,6,1.0
193,32.51734167,-83.2437,12,10.0
194,37.52616001,-83.67308001,11,35.0
195,38.22584605,-93.67895717,3,1.0
196,31.6225,-90.4317,12,1.0
197,33.71,-84.2811,3,3.06
198,29.04056,-82.01278,3,4.0
199,42.9758,-108.9493,3,2.0
200,46.76948,-116.345022,7,6.0
201,31.6025,-87.5914,2,2.0
202,44.33319999,-100.117,4,4.5
203,32.92892624,-83.41705824,2,1.07
204,42.68452,-97.4667,4,1.0
205,33.2110576,-99.77,12,1.0
206,32.0471,-83.6526,6,1.03
207,32.88971999,-79.81360999,3,60.0
208,32.0363041,-98.4500262,9,2.0
209,35.29543,-79.66157,4,1.0
210,31.415244,-86.98182800000001,3,2.0
211,33.7481,-87.6419,2,3.0
212,28.78694001,-81.09472998,5,1.0
213,36.22212,-91.55439999,4,1.0
214,35.5728,-98.3378,2,125.0
215,44.4163,-74.0025,8,1.89
216,32.55891177,-83.86065995,5,1.47
217,33.483334,-79.349998,11,2.0
218,30.35218,-98.9208,12,50.0
