,MO,SLAT,SLON,MAG
0,6,28.08,-82.78,0
1,6,27.73,-82.73,0
2,6,27.48,-82.72,0
3,7,27.77,-82.77,0
4,7,27.92,-82.8,0
5,9,29.05,-95.45,0
6,9,28.97,-95.8,0
7,9,29.15,-95.65,0
8,9,29.27,-95.95,0
9,9,29.4,-95.83,1
10,9,28.4,-97.75,0
11,9,28.73,-97.6,0
12,9,28.67,-97.63,0
13,9,27.65,-98.08,0
14,9,27.65,-98.08,0
15,9,29.38,-90.28,1
16,10,29.33,-94.78,0
17,10,29.0,-82.73,1
18,10,27.73,-97.62,2
19,10,27.73,-97.62,1
20,12,28.33,-97.82,0
21,12,29.4,-94.9,1
22,6,28.83,-95.92,0
23,6,28.95,-96.07,0
24,6,29.28,-94.87,0
25,7,27.72,-97.2,0
26,7,28.62,-96.63,0
27,7,28.7,-96.22,1
28,7,28.78,-96.67,0
29,9,27.95,-97.67,0
30,10,29.32,-96.1,0
31,11,29.12,-96.38,0
32,11,29.13,-96.28,0
33,11,29.0,-96.13,0
34,11,29.27,-96.17,0
35,11,29.28,-96.1,0
36,11,29.28,-96.02,0
37,11,29.05,-95.58,0
38,11,29.37,-95.08,0
39,4,27.52,-97.37,0
40,4,28.55,-96.97,0
41,4,28.82,-96.62,0
42,4,28.55,-96.87,0
43,4,28.47,-96.75,0
44,4,29.08,-96.22,0
45,4,29.15,-96.28,0
46,5,29.15,-96.75,0
47,5,28.07,-97.78,0
48,5,28.08,-97.78,0
49,6,29.32,-96.1,1
50,6,29.32,-96.1,1
51,6,29.1,-96.23,0
52,8,28.28,-82.68,0
53,8,27.73,-82.75,0
54,8,29.3,-94.82,0
55,9,28.4,-82.68,0
56,10,29.4,-90.28,0
57,11,29.28,-96.95,0
58,11,28.72,-96.92,1
59,11,28.82,-97.85,0
60,11,28.98,-97.5,0
61,11,29.15,-97.28,1
62,11,29.37,-96.17,0
63,4,29.1,-90.2,2
64,6,26.15,-97.92,0
65,6,26.17,-97.98,0
66,6,27.88,-82.77,0
67,7,27.82,-82.68,0
68,7,26.23,-97.58,0
69,9,27.75,-98.02,1
70,9,27.63,-97.8,0
71,7,28.17,-97.75,0
72,9,27.55,-97.82,0
73,7,27.9,-82.8,0
